file,title_before,title_after,title_changed,desc_before,desc_after,desc_changed
fsbo-selling-without-broker-nyc.html,Selling FSBO in NYC & Queens,Selling FSBO in NYC & Queens,False,"Thinking of selling your home without a broker in Queens or NYC? Here's an honest guide to FSBO in New York — pricing, marketing, disclosures, and the legal.","Thinking of selling your home without a broker in Queens or NYC? Here&#x27;s an honest guide to FSBO in New York — pricing, marketing, disclosures, and the legal.",True
index.html,Queens & Long Island Real Estate | Gadura Real Estate LLC — Homes for Sale,Queens & Long Island Real Estate | Gadura Real Estate LLC — Homes for Sale,False,"Gadura Real Estate — family-owned Queens & Long Island brokerage since 2006. Search every OneKey® MLS listing, get a free home valuation, and work with Nitin Gadura. Call (917) 705-0132.","Gadura Real Estate — family-owned Queens &amp; Long Island brokerage since 2006. Search every OneKey® MLS listing, get a free home valuation, and work with Nitin Gadura. Call (917) 705-0132.",True
punjabi-speaking-real-estate-agent-queens.html,Punjabi-Speaking Real Estate Agent Queens NY | Gadura RE,Punjabi-Speaking Real Estate Agent Queens NY | Gadura RE,False,Queens real estate broker who speaks Punjabi. Serving Sikh and Punjabi families across Queens & Long Island since 2006.,Queens real estate broker who speaks Punjabi. Serving Sikh and Punjabi families across Queens &amp; Long Island since 2006.,True
listing-alerts.html,Free Listing Alerts — Queens & Long Island Homes | Gadura Real Estate,Free Listing Alerts — Queens &amp; Long Island Homes | Gadura RE,True,"Get instant email alerts when new homes hit the market in Queens and Long Island. Free MLS access, saved searches, and price drop notifications. Sign up with Nitin Gadura.","Get instant email alerts when new homes hit the market in Queens and Long Island. Free MLS access, saved searches, and price drop notifications.",True
portal.html,Real Estate Portal — Gadura Real Estate LLC | Gadura RE,Real Estate Portal — Gadura Real Estate LLC | Gadura RE,False,"Browse Gadura Real Estate's full property portal. View our sold track record, current featured listings, and explore the Queens & Long Island market.","Browse Gadura Real Estate&#x27;s full property portal. View our sold track record, current featured listings, and explore the Queens &amp; Long Island market.",True
agency-disclosure.html,New York Agency Disclosure (RPL §443) | Gadura RE,New York Agency Disclosure (RPL §443) | Gadura RE,False,"Gadura Real Estate, LLC agency disclosure under NY Real Property Law §443 — explains seller's agent, buyer's agent, broker's agent, dual agent, and.","Gadura Real Estate, LLC agency disclosure under NY Real Property Law §443 — explains seller&#x27;s agent, buyer&#x27;s agent, broker&#x27;s agent, dual agent, and.",True
home-valuation.html,What's My Home Worth? Free Home Valuation — Queens & Long Island | Gadura Real Estate,What's My Home Worth? Free Home Valuation — Queens & Long Island | Gadura Real Estate,False,"Get your home's value instantly. Pull independent estimates from Zillow & Redfin, then get a free expert valuation (CMA) from Gadura Real Estate — we price to help you pursue the strongest supportable price across Queens & Long Island. Call (718) 850-0010.","Get your home&#x27;s value instantly. Pull independent estimates from Zillow &amp; Redfin, then get a free expert valuation (CMA) from Gadura Real Estate — we price to help you pursue the strongest supportable price across Queens &amp; Long Island. Call (718) 850-0010.",True
fair-housing.html,Fair Housing Statement | Gadura RE,Fair Housing Statement | Gadura RE,False,"Gadura Real Estate LLC's full Fair Housing Statement. We comply with the Federal Fair Housing Act, NY State Human Rights Law, and NYC Human Rights Law.","Gadura Real Estate LLC&#x27;s full Fair Housing Statement. We comply with the Federal Fair Housing Act, NY State Human Rights Law, and NYC Human Rights Law.",True
reviews.html,Client Reviews | Five-Star Queens Real Estate Agency,Client Reviews | Five-Star Queens Real Estate Agency,False,"Read verified five-star reviews from Queens & Long Island families on Google, Zillow and Realtor.com. See why clients trust Gadura Real Estate LLC.","Read verified five-star reviews from Queens &amp; Long Island families on Google, Zillow and Realtor.com. See why clients trust Gadura Real Estate LLC.",True
fair-housing-equal-opportunity.html,Equal Housing Opportunity | Fair Housing Commitment,Equal Housing Opportunity | Fair Housing Commitment,False,"Gadura Real Estate's complete Fair Housing commitment: federal law, NY Human Rights Law, NYC Admin Code §8-107 source of income protections, and our.","Gadura Real Estate&#x27;s complete Fair Housing commitment: federal law, NY Human Rights Law, NYC Admin Code §8-107 source of income protections, and our.",True
sell-home-richmond-hill.html,Sell Your Home in Richmond Hill NY | Richmond Hill Listing Agent 11418 | Nitin Gadura,Sell Your Home in Richmond Hill NY | Richmond Hill Listing Agent 11418 | Nitin Gadura,False,Selling in Richmond Hill? Nitin Gadura is the local expert for 11418. Indo-Caribbean & South Asian buyer network. Free CMA. (917) 705-0132.,Selling in Richmond Hill? Nitin Gadura is the local expert for 11418. Indo-Caribbean &amp; South Asian buyer network. Free CMA. (917) 705-0132.,True
best-listing-agent-queens.html,"How to Choose a Listing Agent in Queens NY | Nitin Gadura, Gadura Real Estate","How to Choose a Listing Agent in Queens NY | Nitin Gadura, Gadura Real Estate",False,"Choosing a listing agent in Queens? Nitin Gadura at Gadura Real Estate sells homes across Ozone Park, Richmond Hill & more. Call (917) 705-0132.","Choosing a listing agent in Queens? Nitin Gadura at Gadura Real Estate sells homes across Ozone Park, Richmond Hill &amp; more. Call (917) 705-0132.",True
sell/index.html,Sell Your Home in Queens NY | Gadura RE,Sell Your Home in Queens NY | Gadura RE,False,"Ready to sell your Queens home? Get a free home valuation from Nitin Gadura, Queens' trusted listing agent.","Ready to sell your Queens home? Get a free home valuation from Nitin Gadura, Queens&#x27; trusted listing agent.",True
about-us/index.html,About Gadura Real Estate | Queens NY Brokerage Since 2006,About Gadura Real Estate | Queens NY Brokerage Since 2006,False,"Gadura Real Estate LLC was founded in 2006 by Broker/Owner Vinod Gadura. Serving Queens, Nassau, Suffolk & Brooklyn with expertise as a family firm since 2006.","Gadura Real Estate LLC was founded in 2006 by Broker/Owner Vinod Gadura. Serving Queens, Nassau, Suffolk &amp; Brooklyn with expertise as a family firm since 2006.",True
neighborhoods/manhattan.html,Manhattan Real Estate Agent | Nitin Gadura | All Neighborhoods,Manhattan Real Estate Agent | Nitin Gadura | All Neighborhoods,False,"Real estate agent serving every Manhattan neighborhood. Nitin Gadura at Gadura Real Estate LLC, NYS-licensed, multilingual, five-star reviewed. (917) 705-0132.","Real estate agent serving every Manhattan neighborhood. Nitin Gadura at Gadura Real Estate LLC, NYS-licensed, multilingual, five-star reviewed.",True
neighborhoods/woodhaven.html,Woodhaven Real Estate | Gadura Real Estate,Woodhaven Real Estate | Gadura Real Estate,False,"Tree-lined blocks, J/Z subway access, and one of Queens' best-preserved 19th-century housing stocks.","Tree-lined blocks, J/Z subway access, and one of Queens&#x27; best-preserved 19th-century housing stocks.",True
neighborhoods/bronx.html,The Bronx Real Estate Agent | Nitin Gadura | All Neighborhoods,The Bronx Real Estate Agent | Nitin Gadura | All Neighborhoods,False,"Real estate agent serving every The Bronx neighborhood. Nitin Gadura at Gadura Real Estate LLC, NYS-licensed, multilingual, five-star reviewed. (917) 705-0132.","Real estate agent serving every The Bronx neighborhood. Nitin Gadura at Gadura Real Estate LLC, NYS-licensed, multilingual, five-star reviewed.",True
neighborhoods/staten-island.html,Staten Island Real Estate Agent | Nitin Gadura,Staten Island Real Estate Agent | Nitin Gadura,False,"Real estate agent serving every Staten Island neighborhood. Nitin Gadura at Gadura Real Estate LLC, NYS-licensed, multilingual, five-star reviewed. (917) 705-0132.","Real estate agent serving every Staten Island neighborhood. Nitin Gadura at Gadura Real Estate LLC, NYS-licensed, multilingual, five-star reviewed.",True
1031-exchange/index.html,1031 Exchange Queens NY,1031 Exchange Queens NY,False,"Complete 1031 like-kind exchange guide for Queens & NYC investors: 45/180-day timelines, qualified intermediary, replacement property strategy.","Complete 1031 like-kind exchange guide for Queens &amp; NYC investors: 45/180-day timelines, qualified intermediary, replacement property strategy.",True
listings/index.html,"Queens, Brooklyn & Long Island NY Home Search","Queens, Brooklyn & Long Island NY Home Search",False,"Search every active home, condo, co-op, 1-family, 2-family, 3-family, and commercial property for sale in Queens, Brooklyn, Nassau & Suffolk, New York.","Search every active home, condo, co-op, 1-family, 2-family, 3-family, and commercial property for sale in Queens, Brooklyn, Nassau &amp; Suffolk, New York.",True
resources/neighborhood-comparison-tool.html,"Compare Neighborhoods in Queens, Brooklyn & Long Island","Compare Neighborhoods in Queens, Brooklyn & Long Island",False,"Compare 24 neighborhoods in Queens, Brooklyn & Long Island by home price, transit access, school ratings, walkability & more.","Compare 24 neighborhoods in Queens, Brooklyn &amp; Long Island by home price, transit access, school ratings, walkability &amp; more.",True
resources/moving-to-nyc-guide.html,Moving to NYC? Complete Relocation Guide | Nitin Gadura,Moving to NYC? Complete Relocation Guide | Nitin Gadura,False,"Moving to New York City? Complete relocation guide for Queens, Brooklyn & Long Island. Neighborhoods, cost of living, transit, schools","Moving to New York City? Complete relocation guide for Queens, Brooklyn &amp; Long Island. Neighborhoods, cost of living, transit, schools",True
vinod-gadura/index.html,Vinod Gadura | Gadura RE,Vinod Gadura | Gadura RE,False,"Vinod Gadura — Licensed Broker & Owner of Gadura Real Estate LLC, established 2006. 28 years experience, 285+ closed team sales","Vinod Gadura — Licensed Broker &amp; Owner of Gadura Real Estate LLC, established 2006. 28 years experience, 285+ closed team sales",True
jeevanpreet-singh/index.html,Jeevanpreet Singh | Gadura RE,Jeevanpreet Singh | Gadura RE,False,"Jeevanpreet Singh — next-gen Queens NY real estate agent. Drone photography, social media marketing, Instagram & TikTok listing campaigns.","Jeevanpreet Singh — next-gen Queens NY real estate agent. Drone photography, social media marketing, Instagram &amp; TikTok listing campaigns.",True
home-value/jamaica-estates-home-value.html,Jamaica Estates Home Values 2026 | Gadura RE,Jamaica Estates Home Values 2026 | Gadura RE,False,Jamaica Estates is Queens' most prestigious neighborhood. Get your free home valuation from Nitin Gadura — expert in Jamaica Estates luxury real estate.,Jamaica Estates is Queens&#x27; most prestigious neighborhood. Get your free home valuation from Nitin Gadura — expert in Jamaica Estates luxury real estate.,True
home-value/holliswood-home-value.html,Holliswood Queens Home Values 2026 | Gadura RE,Holliswood Queens Home Values 2026 | Gadura RE,False,Holliswood home values are among the highest in Queens. Get your free luxury home valuation from Nitin Gadura — Holliswood's trusted real estate expert.,Holliswood home values are among the highest in Queens. Get your free luxury home valuation from Nitin Gadura — Holliswood&#x27;s trusted real estate expert.,True
home-value/sell-or-rent-calculator.html,Sell or Rent Calculator — Queens & Long Island | Gadura Real Estate,Sell or Rent Calculator — Queens &amp; Long Island | Gadura RE,True,Should you sell or rent your Queens or Long Island home? Use our free calculator to compare options and maximize your return. Call (718) 850-0010.,Should you sell or rent your Queens or Long Island home? Use our free calculator to compare options and maximize your return. Call (718) 850-0010.,False
home-value/home-equity-calculator.html,Home Equity Calculator — Queens & Long Island | Gadura Real Estate,Home Equity Calculator — Queens &amp; Long Island | Gadura RE,True,Calculate your home equity in Queens or Long Island. See how much wealth you have built in your property. Call (718) 850-0010 for expert advice.,Calculate your home equity in Queens or Long Island. See how much wealth you have built in your property. Call (718) 850-0010 for expert advice.,False
sell-my-house/ozone-park.html,Sell My House in Ozone Park | Free CMA | Gadura RE,Sell My House in Ozone Park | Free CMA | Gadura RE,False,"Sell your house in Ozone Park for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura. Median sale price $680K in 2026.","Sell your house in Ozone Park for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura.",True
sell-my-house/richmond-hill.html,Sell My House in Richmond Hill | Free CMA | Gadura RE,Sell My House in Richmond Hill | Free CMA | Gadura RE,False,"Sell your house in Richmond Hill for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura. Median sale price $720K in 2026.","Sell your house in Richmond Hill for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura.",True
sell-my-house/flushing.html,Sell My House in Flushing | Free CMA | Gadura RE,Sell My House in Flushing | Free CMA | Gadura RE,False,"Sell your house in Flushing for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura. Median sale price $825K in 2026.","Sell your house in Flushing for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura.",True
sell-my-house/woodhaven.html,Sell My House in Woodhaven | Free CMA | Gadura RE,Sell My House in Woodhaven | Free CMA | Gadura RE,False,"Sell your house in Woodhaven for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura. Median sale price $710K in 2026.","Sell your house in Woodhaven for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura.",True
sell-my-house/jackson-heights.html,Sell My House in Jackson Heights | Free CMA | Gadura RE,Sell My House in Jackson Heights | Free CMA | Gadura RE,False,"Sell your house in Jackson Heights for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura. Median sale price $615K in 2026.","Sell your house in Jackson Heights for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura.",True
sell-my-house/howard-beach.html,Sell My House in Howard Beach | Free CMA | Gadura RE,Sell My House in Howard Beach | Free CMA | Gadura RE,False,"Sell your house in Howard Beach for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura. Median sale price $785K in 2026.","Sell your house in Howard Beach for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura.",True
sell-my-house/jamaica.html,Sell My House in Jamaica Queens | Free CMA | Gadura RE,Sell My House in Jamaica Queens | Free CMA | Gadura RE,False,"Sell your house in Jamaica, Queens for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura. Median sale price $590K in 2026.","Sell your house in Jamaica, Queens for the strongest supportable price. Free CMA, expert pricing, and full-service marketing from Nitin Gadura.",True
